time,value
"2019/06/1 00:47:28",0
"2019/06/1 01:06:43",0
"2019/06/1 01:24:32",
"2019/06/1 01:59:27",
"2019/06/1 02:04:27",0
"2019/06/1 02:23:44",0
"2019/06/1 02:41:26",1
"2019/06/1 02:42:59",0
"2019/06/1 02:53:32",1
"2019/06/1 03:28:29",0
"2019/06/1 03:40:43",1
"2019/06/1 04:19:15",0
"2019/06/1 05:20:12",0
"2019/06/1 05:25:55",0
"2019/06/1 05:41:19",1
"2019/06/1 05:50:56",0
"2019/06/1 05:52:52",1
"2019/06/1 05:56:43",1
"2019/06/1 06:00:34",1
"2019/06/1 06:12:09",1
"2019/06/1 06:21:45",1
"2019/06/1 06:37:25",1
"2019/06/1 06:47:03",0
"2019/06/1 07:06:40",
"2019/06/1 07:10:02",
"2019/06/1 07:10:42",0
"2019/06/1 07:14:33",1
"2019/06/1 07:16:28",0
"2019/06/1 07:19:56",
"2019/06/1 07:30:13",0
"2019/06/1 07:41:46",0
"2019/06/1 07:45:25",
"2019/06/1 07:47:33",1
"2019/06/1 07:53:55",
"2019/06/1 07:55:16",0
"2019/06/1 07:57:42",
"2019/06/1 08:01:01",2
"2019/06/1 08:07:04",1
"2019/06/1 08:20:33",0
"2019/06/1 08:32:57",
"2019/06/1 08:39:49",0
"2019/06/1 08:45:23",
"2019/06/1 08:52:14",
"2019/06/1 08:55:12",0
"2019/06/1 09:04:03",
"2019/06/1 09:16:39",0
"2019/06/1 09:24:38",2
"2019/06/1 09:49:09",1
"2019/06/1 09:59:50",0
"2019/06/1 10:01:45",1
"2019/06/1 10:07:48",1
"2019/06/1 10:21:18",1
"2019/06/1 10:23:12",2
"2019/06/1 10:29:15",2
"2019/06/1 10:30:24",3
"2019/06/1 10:31:11",1
"2019/06/1 10:35:18",1
"2019/06/1 10:37:14",1
"2019/06/1 10:39:10",4
"2019/06/1 10:41:21",1
"2019/06/1 10:45:28",3
"2019/06/1 10:47:24",3
"2019/06/1 10:52:22",1
"2019/06/1 11:07:13",
"2019/06/1 11:11:38",1
"2019/06/1 11:12:43",1
"2019/06/1 11:16:49",2
"2019/06/1 11:18:45",1
"2019/06/1 11:20:57",1
"2019/06/1 11:22:53",1
"2019/06/1 11:27:16",2
"2019/06/1 11:35:15",2
"2019/06/1 11:37:11",1
"2019/06/1 11:41:34",3
"2019/06/1 11:43:30",1
"2019/06/1 11:47:53",2
"2019/06/1 11:52:01",1
"2019/06/1 11:53:56",2
"2019/06/1 12:01:55",2
"2019/06/1 12:07:58",2
"2019/06/1 12:09:23",2
"2019/06/1 12:12:06",1
"2019/06/1 12:16:12",2
"2019/06/1 12:20:20",0
"2019/06/1 12:26:23",2
"2019/06/1 12:28:19",3
"2019/06/1 12:30:30",3
"2019/06/1 12:31:22",0
"2019/06/1 12:32:45",2
"2019/06/1 12:40:57",2
"2019/06/1 12:42:53",2
"2019/06/1 12:46:43",2
"2019/06/1 12:54:26",2
"2019/06/1 12:56:21",1
"2019/06/1 13:00:28",0
"2019/06/1 13:02:24",2
"2019/06/1 13:06:31",1
"2019/06/1 13:08:27",3
"2019/06/1 13:12:20",0
"2019/06/1 13:12:36",3
"2019/06/1 13:20:17",2
"2019/06/1 13:53:51",2
"2019/06/1 14:03:11",1
"2019/06/1 14:13:06",4
"2019/06/1 14:13:09",3
"2019/06/1 14:18:52",3
"2019/06/1 14:20:48",4
"2019/06/1 14:25:10",3
"2019/06/1 14:29:18",4
"2019/06/1 14:35:21",4
"2019/06/1 14:43:03",3
"2019/06/1 14:52:57",3
"2019/06/1 15:02:35",4
"2019/06/1 15:04:30",3
"2019/06/1 15:12:13",2
"2019/06/1 15:18:15",3
"2019/06/1 15:20:11",5
"2019/06/1 15:28:25",1
"2019/06/1 15:30:09",2
"2019/06/1 15:30:24",3
"2019/06/1 15:38:19",3
"2019/06/1 15:42:27",5
"2019/06/1 15:46:18",2
"2019/06/1 16:39:26",0
"2019/06/1 17:26:25",2
"2019/06/1 17:28:27",1
"2019/06/1 17:47:42",0
"2019/06/1 17:49:46",0
"2019/06/1 18:45:29",1
"2019/06/1 19:06:30",0
"2019/06/1 19:30:09",0
"2019/06/1 19:35:56",1
"2019/06/1 20:43:36",1
"2019/06/1 20:51:17",1
"2019/06/1 20:57:03",0
"2019/06/1 21:37:30",1
"2019/06/1 22:24:24",0
"2019/06/1 22:48:06",0
"2019/06/1 22:58:23",0
"2019/06/1 23:05:53",1
"2019/06/1 23:11:41",0
"2019/06/1 23:27:22",1
"2019/06/1 23:29:18",0
"2019/06/1 23:46:36",1
"2019/06/1 23:50:27",0
"2019/06/1 23:52:23",1
"2019/06/1 23:58:42",1
"2019/06/2 00:10:15",0
"2019/06/2 00:14:07",1
"2019/06/2 00:16:06",1
"2019/06/2 00:37:45",0
"2019/06/2 00:39:40",1
"2019/06/2 00:49:51",0
"2019/06/2 00:51:46",1
"2019/06/2 00:53:42",0
"2019/06/2 00:59:31",0
"2019/06/2 01:03:19",0
"2019/06/2 01:11:02",0
"2019/06/2 01:15:25",1
"2019/06/2 01:21:12",0
"2019/06/2 01:26:58",0
"2019/06/2 01:28:54",0
"2019/06/2 01:32:45",0
"2019/06/2 01:34:40",1
"2019/06/2 01:41:00",0
"2019/06/2 01:42:55",0
"2019/06/2 01:46:46",0
"2019/06/2 01:48:42",0
"2019/06/2 01:50:38",1
"2019/06/2 01:52:34",0
"2019/06/2 02:00:15",1
"2019/06/2 02:04:39",0
"2019/06/2 02:06:35",1
"2019/06/2 02:16:13",0
"2019/06/2 02:21:58",0
"2019/06/2 02:23:54",1
"2019/06/2 02:25:49",0
"2019/06/2 02:37:57",0
"2019/06/2 02:41:48",0
"2019/06/2 02:49:31",0
"2019/06/2 02:53:54",0
"2019/06/2 02:55:49",1
"2019/06/2 02:59:40",1
"2019/06/2 03:21:25",0
"2019/06/2 03:23:22",1
"2019/06/2 03:25:14",0
"2019/06/2 03:29:06",1
"2019/06/2 03:36:48",1
"2019/06/2 03:46:58",0
"2019/06/2 03:48:53",0
"2019/06/2 03:52:47",0
"2019/06/2 03:54:43",1
"2019/06/2 03:56:38",0
"2019/06/2 03:58:33",1
"2019/06/2 04:00:27",0
"2019/06/2 04:02:22",0
"2019/06/2 04:04:18",1
"2019/06/2 04:06:13",0
"2019/06/2 04:08:09",0
"2019/06/2 04:12:01",0
"2019/06/2 04:17:49",0
"2019/06/2 04:19:44",1
"2019/06/2 04:23:33",0
"2019/06/2 04:25:30",0
"2019/06/2 04:27:24",0
"2019/06/2 04:37:34",0
"2019/06/2 04:39:30",0
"2019/06/2 04:43:21",0
"2019/06/2 04:45:16",0
"2019/06/2 04:49:08",0
"2019/06/2 04:52:58",0
