time,value
April-04,4
" ",6
" ",7
" ",5
" ",7
" ",8
" ",6
" ",5
" ",5
" ",6
" ",6
" ",6
" ",7
" ",5
" ",4
" ",2
" ",2
" ",2
" ",1
" ",1
" ",1
" ",1
" ",1
April-05,4
" ",5
" ",9
" ",10
" ",11
" ",11
" ",11
" ",9
" ",9
" ",10
" ",10
" ",10
" ",8
" ",8
" ",6
" ",3
" ",4
" ",3
" ",1
" ",1
" ",2
" ",1
" ",2
April-06,2
" ",2
" ",3
" ",2
" ",3
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",3
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",1
" ",1
April-07,2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",3
" ",3
" ",2
" ",1
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",1
" ",1
April-08,3
" ",7
" ",10
" ",10
" ",10
" ",10
" ",10
" ",8
" ",13
" ",9
" ",11
" ",11
" ",9
" ",8
" ",10
" ",10
" ",10
" ",10
" ",10
" ",10
" ",10
" ",10
" ",9
" ",4
" ",2
" ",3
" ",2
" ",2
" ",3
" ",2
" ",3
" ",2
April-11,5
" ",8
" ",10
" ",10
" ",10
" ",10
" ",9
" ",10
" ",10
" ",9
" ",9
" ",10
" ",10
" ",9
" ",3
" ",2
" ",2
" ",2
" ",2
" ",3
" ",2
" ",1
" ",1
April-12,4
" ",7
" ",10
" ",12
" ",10
" ",11
" ",10
" ",8
" ",12
" ",11
" ",9
" ",8
" ",3
" ",11
" ",10
" ",8
" ",9
" ",7
" ",8
" ",6
" ",4
" ",3
" ",2
" ",2
" ",2
" ",2
" ",2
" ",1
" ",2
April-16,5
" ",9
" ",12
" ",12
" ",13
" ",14
" ",12
" ",13
" ",15
" ",13
" ",12
" ",13
" ",14
" ",11
" ",5
" ",3
" ",3
" ",3
" ",2
" ",2
" ",2
" ",2
" ",2
April-17,5
" ",9
" ",10
" ",10
" ",11
" ",11
" ",12
" ",15
" ",14
" ",15
" ",14
" ",12
" ",14
" ",8
" ",4
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
" ",2
April-18,6
" ",7
" ",9
" ",10
" ",10
" ",11
" ",10
" ",11
" ",9
" ",9
" ",10
" ",8
" ",1
" ",1
" ",1
" ",1
" ",0
" ",0
" ",1
" ",0
" ",1
" ",0
April-21,0
" ",0
" ",0
" ",0
" ",1
" ",1
" ",2
" ",2
" ",1
" ",0
" ",0
" ",0
" ",0
" ",0
" ",0
" ",0
" ",1
" ",1
" ",0
" ",0
" ",0
" ",0
" ",0
" ",0
" ",0
"22:07 - 0 Personen",0
" ",0
" ",0
" ",0
"22:15 - 1 Person",1
" ",0
" ",0
" ",0
"22:19 - 1 Person",1
" ",0
" ",0
